Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,"Georgia, Adjara Aut. Rep.",GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,377000,375000,374000,370000,365000,361000,356000,353000,351000,347000,343000,339000,336000,333000,329000,326000
"Population, total",SP.POP.TOTL,"Georgia, Guria",GEO_Guria_GE.GU_1298_GEO003,145000,143000,142000,139000,137000,134000,131000,129000,128000,126000,124000,121000,119000,117000,115000,113000
"Population, total",SP.POP.TOTL,"Georgia, Imereti",GEO_Imereti_GE.IM_1299_GEO004,712000,705000,699000,689000,678000,667000,658000,648000,638000,629000,619000,610000,601000,592000,583000,575000
"Population, total",SP.POP.TOTL,"Georgia, Kakheti",GEO_Kakheti_GE.KA_1300_GEO005,416000,411000,407000,401000,394000,387000,380000,375000,369000,364000,357000,351000,346000,341000,335000,330000
"Population, total",SP.POP.TOTL,"Georgia, Kvemo Kartli",GEO_Kvemo_Kartli_GE.KK_1301_GEO006,511000,506000,501000,493000,485000,482000,478000,461000,449000,447000,443000,440000,435000,431000,427000,423000
"Population, total",SP.POP.TOTL,"Georgia, Mtskheta-Mtianeti",GEO_Mtskheta-Mtianeti_GE.MM_1302_GEO007,144000,138000,133000,126000,120000,119000,117000,104000,97000,98000,96000,95000,93000,92000,90000,89000
"Population, total",SP.POP.TOTL,"Georgia, Racha-Lechkhumi and Kvemo (lower) Svaneti",GEO_Racha-Lechkhumi_KvemoSvaneti_GE.RK_1303_GEO010,53000,52000,51000,50000,49000,47000,46000,45000,44000,43000,42000,41000,40000,39000,38000,37000
"Population, total",SP.POP.TOTL,"Georgia, Samergelo and Zemo (upper) Svaneti",GEO_Samergelo_and_Zemo_upSvaneti_GE.SZ_1304_GEO009,468000,466000,463000,458000,452000,448000,443000,436000,430000,425000,419000,413000,407000,401000,395000,389000
"Population, total",SP.POP.TOTL,"Georgia, Samtskhe-Javakheti",GEO_Samtskhe-Javakheti_GE.SA_1305_GEO008,206000,205000,204000,202000,200000,198000,196000,194000,191000,189000,187000,184000,182000,180000,177000,175000
"Population, total",SP.POP.TOTL,"Georgia, Shida Kartli",GEO_Shida_Kartli_GE.SD_1306_GEO011,317000,315000,312000,308000,304000,299000,295000,291000,288000,279000,275000,271000,267000,264000,260000,257000
"Population, total",SP.POP.TOTL,"Georgia, Tbilisi",GEO_Tbilisi_GE.TB_1307_GEO012,1068000,1070000,1071000,1066000,1061000,1049000,1037000,1046000,1045000,1033000,1021000,1009000,998000,987000,976000,966000
"Population, total",SP.POP.TOTL,Georgia,GEO,4418000,4386000,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3679000
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: Subnational Population,,,,,,,,,,,,,,,,,,,
Last Updated: 08/30/2016,,,,,,,,,,,,,,,,,,,
