"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,235,"TUR","Turkey",1,"Çanakkale","Il","Province",NA,NA
2,235,"TUR","Turkey",2,"Çankiri","Il","Province",NA,"Çankiri|Changra"
3,235,"TUR","Turkey",3,"Çorum","Il","Province",NA,NA
4,235,"TUR","Turkey",4,"Adana","Il","Province",NA,"Seyhan"
5,235,"TUR","Turkey",5,"Adiyaman","Il","Province",NA,"Adiyaman"
6,235,"TUR","Turkey",6,"Afyon","Il","Province",NA,"Afyonkarahisar"
7,235,"TUR","Turkey",7,"Agri","Il","Province",NA,"Agri|Karaköse"
8,235,"TUR","Turkey",8,"Aksaray","Il","Province",NA,NA
9,235,"TUR","Turkey",9,"Amasya","Il","Province",NA,NA
10,235,"TUR","Turkey",10,"Ankara","Il","Province",NA,"Ancara|Angora"
11,235,"TUR","Turkey",11,"Antalya","Il","Province",NA,"Adalia|Anatolia"
12,235,"TUR","Turkey",12,"Ardahan","Il","Province",NA,NA
13,235,"TUR","Turkey",13,"Artvin","Il","Province",NA,"Çoruh"
14,235,"TUR","Turkey",14,"Aydin","Il","Province",NA,"Aydin"
15,235,"TUR","Turkey",15,"Balikesir","Il","Province",NA,"Balikesir|Balikisri"
16,235,"TUR","Turkey",16,"Bartin","Il","Province",NA,NA
17,235,"TUR","Turkey",17,"Batman","Il","Province",NA,NA
18,235,"TUR","Turkey",18,"Bayburt","Il","Province",NA,NA
19,235,"TUR","Turkey",19,"Bilecik","Il","Province",NA,NA
20,235,"TUR","Turkey",20,"Bingöl","Il","Province",NA,"Çapakçur"
21,235,"TUR","Turkey",21,"Bitlis","Il","Province",NA,NA
22,235,"TUR","Turkey",22,"Bolu","Il","Province",NA,NA
23,235,"TUR","Turkey",23,"Burdur","Il","Province",NA,NA
24,235,"TUR","Turkey",24,"Bursa","Il","Province",NA,"Burssa|Brusa|Brussa|Brousse"
25,235,"TUR","Turkey",25,"Düzce","Il","Province",NA,NA
26,235,"TUR","Turkey",26,"Denizli","Il","Province",NA,NA
27,235,"TUR","Turkey",27,"Diyarbakir","Il","Province",NA,"Diyarbakir"
28,235,"TUR","Turkey",28,"Edirne","Il","Province",NA,"Adrianople|Adrianopel"
29,235,"TUR","Turkey",29,"Elazig","Il","Province",NA,"Elazig"
30,235,"TUR","Turkey",30,"Erzincan","Il","Province",NA,NA
31,235,"TUR","Turkey",31,"Erzurum","Il","Province",NA,NA
32,235,"TUR","Turkey",32,"Eskisehir","Il","Province",NA,"Eskisehir"
33,235,"TUR","Turkey",33,"Gümüshane","Il","Province",NA,"Gümüshane"
34,235,"TUR","Turkey",34,"Gaziantep","Il","Province",NA,NA
35,235,"TUR","Turkey",35,"Giresun","Il","Province",NA,"Kerasund"
36,235,"TUR","Turkey",36,"Hakkari","Il","Province",NA,NA
37,235,"TUR","Turkey",37,"Hatay","Il","Province",NA,NA
38,235,"TUR","Turkey",38,"Igdir","Il","Province",NA,NA
39,235,"TUR","Turkey",39,"Isparta","Il","Province",NA,NA
40,235,"TUR","Turkey",40,"Istanbul","Il","Province",NA,"Istanbul|Constantinople|Estambul|Istambul|Konstantinopel|Stamboul"
41,235,"TUR","Turkey",41,"Izmir","Il","Province",NA,"Izmir|Esmirna|Smirne|Smyrna"
42,235,"TUR","Turkey",42,"K. Maras","Il","Province",NA,"Kahramanmaras"
43,235,"TUR","Turkey",43,"Kütahya","Il","Province",NA,"Kütanya"
44,235,"TUR","Turkey",44,"Karabük","Il","Province",NA,NA
45,235,"TUR","Turkey",45,"Karaman","Il","Province",NA,NA
46,235,"TUR","Turkey",46,"Kars","Il","Province",NA,NA
47,235,"TUR","Turkey",47,"Kastamonu","Il","Province",NA,NA
48,235,"TUR","Turkey",48,"Kayseri","Il","Province",NA,NA
49,235,"TUR","Turkey",49,"Kilis","Il","Province",NA,NA
50,235,"TUR","Turkey",50,"Kinkkale","Il","Province",NA,"Kirikkale"
51,235,"TUR","Turkey",51,"Kirklareli","Il","Province",NA,"Kirklareli"
52,235,"TUR","Turkey",52,"Kirsehir","Il","Province",NA,"Kirsehir"
53,235,"TUR","Turkey",53,"Kocaeli","Il","Province",NA,"Izmit"
54,235,"TUR","Turkey",54,"Konya","Il","Province",NA,"Konieh|Kunja"
55,235,"TUR","Turkey",55,"Malatya","Il","Province",NA,NA
56,235,"TUR","Turkey",56,"Manisa","Il","Province",NA,NA
57,235,"TUR","Turkey",57,"Mardin","Il","Province",NA,NA
58,235,"TUR","Turkey",58,"Mersin","Il","Province",NA,"Içel"
59,235,"TUR","Turkey",59,"Mugla","Il","Province",NA,"Mugla"
60,235,"TUR","Turkey",60,"Mus","Il","Province",NA,"Mus"
61,235,"TUR","Turkey",61,"Nevsehir","Il","Province",NA,"Nevsehir"
62,235,"TUR","Turkey",62,"Nigde","Il","Province",NA,"Nigde"
63,235,"TUR","Turkey",63,"Ordu","Il","Province",NA,NA
64,235,"TUR","Turkey",64,"Osmaniye","Il","Province",NA,NA
65,235,"TUR","Turkey",65,"Rize","Il","Province",NA,NA
66,235,"TUR","Turkey",66,"Sakarya","Il","Province",NA,NA
67,235,"TUR","Turkey",67,"Samsun","Il","Province",NA,NA
68,235,"TUR","Turkey",68,"Sanliurfa","Il","Province",NA,"Sanliurfa|Urfa"
69,235,"TUR","Turkey",69,"Siirt","Il","Province",NA,NA
70,235,"TUR","Turkey",70,"Sinop","Il","Province",NA,NA
71,235,"TUR","Turkey",71,"Sirnak","Il","Province",NA,"Sirnak"
72,235,"TUR","Turkey",72,"Sivas","Il","Province",NA,NA
73,235,"TUR","Turkey",73,"Tekirdag","Il","Province",NA,"Tekirdag"
74,235,"TUR","Turkey",74,"Tokat","Il","Province",NA,NA
75,235,"TUR","Turkey",75,"Trabzon","Il","Province",NA,"Trapezunt|Trebizond|Trebizonda|Trébizonde"
76,235,"TUR","Turkey",76,"Tunceli","Il","Province",NA,NA
77,235,"TUR","Turkey",77,"Usak","Il","Province",NA,"Usak"
78,235,"TUR","Turkey",78,"Van","Il","Province",NA,NA
79,235,"TUR","Turkey",79,"Yalova","Il","Province",NA,NA
80,235,"TUR","Turkey",80,"Yozgat","Il","Province",NA,NA
81,235,"TUR","Turkey",81,"Zinguldak","Il","Province",NA,"Zonguldak"
